"","Aux","Country","Causation","EPTrans","EPTrans1"
"1","laten","NL","Inducive","Intr","Intr"
"2","laten","NL","Physical","Intr","Intr"
"3","laten","NL","Inducive","Tr","Tr"
"4","doen","BE","Affective","Intr","Intr"
"5","laten","NL","Inducive","Tr","Tr"
"6","laten","NL","Volitional","Intr","Intr"
"7","doen","NL","Physical","Intr","Intr"
"8","doen","NL","Affective","Tr","Tr"
"9","doen","NL","Inducive","Intr","Intr"
"10","laten","BE","Inducive","Intr","Intr"
"11","doen","BE","Affective","Intr","Intr"
"12","laten","BE","Volitional","Intr","Intr"
"13","doen","BE","Volitional","Intr","Intr"
"14","doen","BE","Volitional","Intr","Intr"
"15","laten","BE","Inducive","Tr","Tr"
"16","laten","BE","Inducive","Tr","Tr"
"17","laten","BE","Inducive","Intr","Intr"
"18","doen","BE","Physical","Intr","Intr"
"19","laten","BE","Inducive","Tr","Tr"
"20","laten","BE","Volitional","Intr","Intr"
"21","laten","BE","Inducive","Intr","Intr"
"22","laten","NL","Volitional","Intr","Intr"
"23","laten","BE","Volitional","Intr","Intr"
"24","laten","BE","Inducive","Tr","Tr"
"25","laten","NL","Volitional","Intr","Intr"
"26","doen","BE","Volitional","Intr","Intr"
"27","doen","BE","Affective","Intr","Intr"
"28","doen","BE","Physical","Intr","Intr"
"29","doen","BE","Inducive","Tr","Tr"
"30","laten","BE","Volitional","Intr","Intr"
"31","laten","BE","Inducive","Tr","Tr"
"32","laten","BE","Inducive","Tr","Tr"
"33","doen","BE","Affective","Tr","Tr"
"34","laten","NL","Inducive","Tr","Tr"
"35","doen","BE","Affective","Intr","Intr"
"36","laten","BE","Volitional","Intr","Intr"
"37","doen","NL","Inducive","Intr","Intr"
"38","laten","BE","Volitional","Intr","Intr"
"39","laten","BE","Affective","Tr","Tr"
"40","laten","BE","Volitional","Intr","Intr"
"41","doen","NL","Inducive","Intr","Intr"
"42","doen","NL","Inducive","Intr","Intr"
"43","laten","BE","Volitional","Intr","Intr"
"44","laten","NL","Inducive","Tr","Tr"
"45","laten","NL","Inducive","Tr","Tr"
"46","laten","BE","Volitional","Intr","Intr"
"47","laten","BE","Inducive","Tr","Tr"
"48","laten","NL","Volitional","Intr","Intr"
"49","laten","NL","Inducive","Tr","Tr"
"50","doen","BE","Physical","Intr","Intr"
"51","doen","BE","Affective","Intr","Intr"
"52","doen","BE","Volitional","Intr","Intr"
"53","doen","BE","Affective","Intr","Intr"
"54","doen","NL","Physical","Intr","Intr"
"55","laten","NL","Volitional","Intr","Intr"
"56","laten","BE","Inducive","Intr","Intr"
"57","doen","BE","Physical","Intr","Intr"
"58","laten","NL","Inducive","Intr","Intr"
"59","doen","NL","Affective","Tr","Tr"
"60","doen","BE","Physical","Intr","Intr"
"61","laten","NL","Volitional","Tr","Tr"
"62","laten","BE","Volitional","Intr","Intr"
"63","laten","BE","Inducive","Intr","Intr"
"64","laten","BE","Inducive","Tr","Tr"
"65","laten","NL","Inducive","Tr","Tr"
"66","laten","BE","Inducive","Intr","Intr"
"67","doen","NL","Physical","Intr","Intr"
"68","doen","BE","Affective","Tr","Tr"
"69","doen","BE","Physical","Intr","Intr"
"70","doen","BE","Physical","Intr","Intr"
"71","doen","BE","Affective","Intr","Intr"
"72","doen","NL","Affective","Tr","Tr"
"73","laten","BE","Inducive","Intr","Intr"
"74","doen","BE","Physical","Intr","Intr"
"75","doen","NL","Physical","Intr","Intr"
"76","laten","NL","Volitional","Tr","Tr"
"77","doen","BE","Physical","Intr","Intr"
"78","laten","NL","Volitional","Intr","Intr"
"79","laten","NL","Volitional","Tr","Tr"
"80","laten","BE","Volitional","Intr","Intr"
"81","doen","BE","Physical","Intr","Intr"
"82","doen","NL","Affective","Intr","Intr"
"83","laten","NL","Inducive","Tr","Tr"
"84","doen","BE","Affective","Tr","Tr"
"85","laten","NL","Volitional","Intr","Intr"
"86","laten","NL","Volitional","Intr","Intr"
"87","laten","NL","Inducive","Tr","Tr"
"88","doen","BE","Affective","Tr","Tr"
"89","doen","BE","Physical","Intr","Intr"
"90","laten","BE","Inducive","Intr","Intr"
"91","doen","BE","Inducive","Intr","Intr"
"92","doen","BE","Physical","Intr","Intr"
"93","doen","NL","Physical","Intr","Intr"
"94","laten","NL","Volitional","Intr","Intr"
"95","laten","BE","Inducive","Intr","Intr"
"96","laten","BE","Volitional","Intr","Intr"
"97","laten","NL","Inducive","Intr","Tr"
"98","doen","NL","Affective","Intr","Intr"
"99","doen","NL","Affective","Intr","Intr"
"100","doen","BE","Physical","Intr","Intr"
"101","laten","NL","Volitional","Tr","Tr"
"102","laten","NL","Volitional","Intr","Intr"
"103","laten","BE","Volitional","Intr","Intr"
"104","doen","NL","Affective","Intr","Intr"
"105","doen","BE","Inducive","Tr","Tr"
"106","doen","NL","Volitional","Intr","Intr"
"107","doen","BE","Physical","Intr","Intr"
"108","doen","BE","Volitional","Intr","Intr"
"109","doen","NL","Volitional","Intr","Intr"
"110","laten","NL","Volitional","Tr","Tr"
"111","doen","BE","Affective","Tr","Tr"
"112","doen","BE","Affective","Intr","Intr"
"113","doen","NL","Physical","Intr","Intr"
"114","laten","NL","Affective","Intr","Intr"
"115","doen","BE","Affective","Intr","Intr"
"116","laten","BE","Inducive","Tr","Tr"
"117","laten","NL","Inducive","Tr","Tr"
"118","laten","BE","Volitional","Intr","Intr"
"119","doen","BE","Physical","Intr","Intr"
"120","doen","BE","Physical","Intr","Intr"
"121","doen","NL","Affective","Tr","Tr"
"122","doen","NL","Affective","Intr","Intr"
"123","doen","BE","Inducive","Intr","Intr"
"124","doen","NL","Affective","Intr","Intr"
"125","doen","BE","Affective","Intr","Intr"
"126","doen","NL","Physical","Intr","Intr"
"127","doen","BE","Physical","Intr","Intr"
"128","laten","NL","Affective","Tr","Tr"
"129","doen","NL","Physical","Intr","Intr"
"130","doen","BE","Physical","Intr","Intr"
"131","doen","NL","Volitional","Intr","Intr"
"132","laten","NL","Inducive","Tr","Tr"
"133","doen","NL","Physical","Intr","Intr"
"134","laten","BE","Volitional","Intr","Intr"
"135","doen","BE","Physical","Intr","Intr"
"136","laten","BE","Inducive","Tr","Tr"
"137","laten","NL","Inducive","Tr","Tr"
"138","laten","BE","Inducive","Tr","Tr"
"139","laten","BE","Volitional","Intr","Tr"
"140","doen","BE","Physical","Intr","Intr"
"141","laten","BE","Affective","Intr","Intr"
"142","laten","BE","Physical","Intr","Intr"
"143","laten","NL","Volitional","Tr","Tr"
"144","laten","NL","Affective","Tr","Tr"
"145","laten","BE","Inducive","Intr","Intr"
"146","laten","NL","Inducive","Tr","Tr"
"147","doen","NL","Affective","Intr","Intr"
"148","doen","BE","Affective","Intr","Intr"
"149","laten","NL","Inducive","Tr","Tr"
"150","laten","BE","Affective","Tr","Tr"
"151","doen","NL","Physical","Intr","Intr"
"152","laten","NL","Affective","Tr","Tr"
"153","laten","BE","Affective","Intr","Intr"
"154","laten","BE","Inducive","Intr","Intr"
"155","doen","BE","Affective","Intr","Intr"
"156","doen","NL","Inducive","Intr","Intr"
"157","laten","NL","Inducive","Tr","Tr"
"158","laten","NL","Volitional","Intr","Intr"
"159","doen","BE","Affective","Intr","Intr"
"160","doen","BE","Physical","Intr","Intr"
"161","laten","BE","Inducive","Tr","Tr"
"162","laten","NL","Inducive","Intr","Intr"
"163","laten","BE","Volitional","Tr","Tr"
"164","laten","NL","Inducive","Tr","Tr"
"165","laten","BE","Volitional","Tr","Tr"
"166","laten","BE","Inducive","Tr","Tr"
"167","doen","BE","Affective","Intr","Intr"
"168","doen","BE","Affective","Intr","Intr"
"169","laten","BE","Inducive","Tr","Tr"
"170","laten","BE","Inducive","Tr","Tr"
"171","laten","NL","Inducive","Tr","Tr"
"172","doen","NL","Physical","Intr","Intr"
"173","laten","NL","Inducive","Tr","Tr"
"174","doen","NL","Physical","Intr","Intr"
"175","laten","BE","Volitional","Tr","Tr"
"176","laten","NL","Inducive","Tr","Tr"
"177","laten","NL","Volitional","Intr","Intr"
"178","laten","BE","Volitional","Intr","Intr"
"179","doen","BE","Volitional","Intr","Intr"
"180","laten","BE","Volitional","Intr","Intr"
"181","laten","NL","Inducive","Intr","Intr"
"182","laten","NL","Inducive","Tr","Tr"
"183","laten","NL","Volitional","Intr","Intr"
"184","laten","NL","Inducive","Tr","Tr"
"185","laten","BE","Volitional","Intr","Intr"
"186","laten","NL","Inducive","Tr","Tr"
"187","doen","BE","Volitional","Intr","Intr"
"188","doen","BE","Affective","Tr","Tr"
"189","laten","NL","Inducive","Tr","Tr"
"190","laten","NL","Affective","Tr","Tr"
"191","doen","BE","Affective","Tr","Tr"
"192","doen","BE","Affective","Intr","Intr"
"193","doen","NL","Physical","Intr","Intr"
"194","laten","NL","Inducive","Tr","Tr"
"195","laten","BE","Volitional","Intr","Intr"
"196","doen","NL","Inducive","Tr","Tr"
"197","doen","BE","Affective","Intr","Intr"
"198","doen","BE","Affective","Intr","Intr"
"199","laten","NL","Inducive","Tr","Tr"
"200","laten","BE","Inducive","Intr","Intr"
"201","laten","BE","Volitional","Intr","Intr"
"202","laten","NL","Inducive","Intr","Intr"
"203","laten","NL","Volitional","Intr","Intr"
"204","laten","NL","Inducive","Tr","Tr"
"205","doen","NL","Affective","Intr","Intr"
"206","doen","BE","Inducive","Intr","Intr"
"207","doen","NL","Affective","Intr","Intr"
"208","doen","BE","Physical","Intr","Intr"
"209","doen","BE","Physical","Intr","Intr"
"210","laten","NL","Inducive","Intr","Intr"
"211","doen","NL","Inducive","Intr","Intr"
"212","laten","BE","Inducive","Tr","Tr"
"213","doen","BE","Affective","Tr","Tr"
"214","laten","NL","Inducive","Tr","Tr"
"215","laten","NL","Inducive","Intr","Intr"
"216","laten","NL","Inducive","Tr","Tr"
"217","doen","BE","Affective","Intr","Intr"
"218","laten","NL","Inducive","Tr","Tr"
"219","doen","BE","Affective","Intr","Intr"
"220","doen","NL","Physical","Intr","Intr"
"221","laten","NL","Affective","Tr","Tr"
"222","laten","NL","Inducive","Tr","Tr"
"223","doen","BE","Affective","Intr","Intr"
"224","doen","BE","Inducive","Tr","Tr"
"225","doen","NL","Affective","Intr","Intr"
"226","laten","NL","Inducive","Tr","Tr"
"227","doen","BE","Physical","Intr","Intr"
"228","laten","NL","Inducive","Intr","Intr"
"229","laten","NL","Inducive","Tr","Tr"
"230","doen","NL","Affective","Intr","Intr"
"231","doen","NL","Affective","Intr","Intr"
"232","doen","NL","Affective","Tr","Tr"
"233","laten","NL","Inducive","Intr","Intr"
"234","doen","BE","Affective","Tr","Tr"
"235","doen","NL","Physical","Intr","Intr"
"236","doen","NL","Physical","Intr","Intr"
"237","laten","NL","Volitional","Intr","Intr"
"238","doen","BE","Affective","Tr","Tr"
"239","laten","BE","Inducive","Tr","Tr"
"240","laten","NL","Inducive","Intr","Intr"
"241","doen","BE","Physical","Intr","Intr"
"242","doen","BE","Affective","Intr","Intr"
"243","doen","NL","Affective","Intr","Intr"
"244","doen","BE","Physical","Intr","Intr"
"245","doen","NL","Affective","Tr","Tr"
"246","laten","NL","Volitional","Intr","Intr"
"247","laten","NL","Affective","Tr","Tr"
"248","doen","NL","Affective","Intr","Intr"
"249","doen","NL","Physical","Intr","Intr"
"250","laten","NL","Inducive","Intr","Intr"
"251","laten","BE","Inducive","Tr","Tr"
"252","doen","BE","Inducive","Intr","Intr"
"253","laten","BE","Inducive","Tr","Tr"
"254","doen","BE","Physical","Intr","Intr"
"255","laten","NL","Volitional","Tr","Tr"
"256","laten","BE","Inducive","Intr","Intr"
"257","laten","NL","Volitional","Intr","Intr"
"258","laten","NL","Volitional","Intr","Intr"
"259","laten","NL","Inducive","Tr","Tr"
"260","laten","BE","Inducive","Tr","Tr"
"261","laten","NL","Inducive","Tr","Tr"
"262","laten","NL","Inducive","Tr","Tr"
"263","doen","BE","Inducive","Tr","Tr"
"264","doen","NL","Inducive","Tr","Tr"
"265","laten","NL","Volitional","Intr","Intr"
"266","laten","BE","Affective","Tr","Tr"
"267","laten","BE","Volitional","Intr","Intr"
"268","doen","BE","Physical","Intr","Intr"
"269","laten","NL","Affective","Intr","Intr"
"270","doen","NL","Affective","Intr","Intr"
"271","laten","BE","Inducive","Tr","Tr"
"272","doen","NL","Affective","Intr","Intr"
"273","laten","NL","Volitional","Intr","Intr"
"274","laten","NL","Inducive","Tr","Tr"
"275","laten","NL","Inducive","Tr","Tr"
"276","laten","BE","Inducive","Tr","Tr"
"277","laten","BE","Inducive","Intr","Intr"
"278","laten","NL","Inducive","Tr","Tr"
"279","laten","NL","Inducive","Tr","Tr"
"280","laten","NL","Volitional","Intr","Intr"
"281","laten","NL","Volitional","Intr","Intr"
"282","laten","BE","Inducive","Tr","Tr"
"283","doen","NL","Physical","Intr","Intr"
"284","doen","BE","Inducive","Intr","Intr"
"285","laten","NL","Volitional","Intr","Intr"
"286","laten","BE","Inducive","Tr","Tr"
"287","laten","NL","Volitional","Intr","Intr"
"288","laten","BE","Inducive","Tr","Tr"
"289","laten","BE","Inducive","Tr","Tr"
"290","doen","NL","Affective","Tr","Tr"
"291","laten","BE","Volitional","Intr","Intr"
"292","doen","NL","Volitional","Intr","Intr"
"293","laten","NL","Inducive","Tr","Tr"
"294","laten","NL","Inducive","Tr","Tr"
"295","laten","NL","Inducive","Tr","Tr"
"296","laten","NL","Inducive","Tr","Tr"
"297","laten","NL","Volitional","Intr","Intr"
"298","laten","NL","Inducive","Tr","Tr"
"299","laten","NL","Volitional","Tr","Tr"
"300","laten","NL","Inducive","Tr","Tr"
"301","laten","NL","Inducive","Tr","Tr"
"302","doen","BE","Volitional","Intr","Intr"
"303","laten","BE","Volitional","Intr","Intr"
"304","laten","NL","Volitional","Intr","Intr"
"305","doen","BE","Affective","Intr","Intr"
"306","laten","NL","Inducive","Intr","Intr"
"307","laten","BE","Inducive","Intr","Intr"
"308","doen","BE","Volitional","Intr","Intr"
"309","laten","BE","Volitional","Intr","Intr"
"310","laten","BE","Inducive","Tr","Tr"
"311","laten","BE","Inducive","Tr","Tr"
"312","doen","BE","Affective","Intr","Intr"
"313","doen","BE","Affective","Intr","Intr"
"314","laten","BE","Volitional","Tr","Tr"
"315","laten","BE","Inducive","Tr","Tr"
"316","doen","BE","Physical","Intr","Intr"
"317","doen","BE","Affective","Tr","Tr"
"318","doen","NL","Physical","Intr","Intr"
"319","laten","NL","Volitional","Tr","Tr"
"320","laten","NL","Volitional","Tr","Tr"
"321","laten","NL","Volitional","Tr","Tr"
"322","laten","BE","Inducive","Intr","Intr"
"323","laten","NL","Inducive","Tr","Tr"
"324","laten","NL","Inducive","Tr","Tr"
"325","laten","BE","Volitional","Intr","Intr"
"326","doen","NL","Physical","Intr","Intr"
"327","laten","NL","Inducive","Tr","Tr"
"328","doen","BE","Physical","Intr","Intr"
"329","laten","NL","Volitional","Intr","Intr"
"330","laten","NL","Inducive","Tr","Tr"
"331","laten","NL","Inducive","Tr","Tr"
"332","laten","NL","Volitional","Intr","Intr"
"333","doen","BE","Inducive","Intr","Intr"
"334","doen","BE","Physical","Intr","Intr"
"335","doen","BE","Affective","Intr","Intr"
"336","laten","NL","Inducive","Tr","Tr"
"337","laten","NL","Inducive","Intr","Intr"
"338","doen","NL","Affective","Tr","Tr"
"339","laten","NL","Affective","Intr","Intr"
"340","laten","NL","Inducive","Tr","Tr"
"341","laten","NL","Volitional","Tr","Tr"
"342","laten","BE","Inducive","Tr","Tr"
"343","doen","BE","Affective","Tr","Tr"
"344","doen","BE","Inducive","Tr","Tr"
"345","laten","NL","Inducive","Intr","Intr"
"346","doen","NL","Inducive","Intr","Intr"
"347","laten","NL","Inducive","Tr","Tr"
"348","laten","BE","Volitional","Intr","Intr"
"349","laten","BE","Inducive","Tr","Tr"
"350","doen","NL","Affective","Tr","Tr"
"351","doen","BE","Inducive","Intr","Intr"
"352","laten","NL","Inducive","Tr","Tr"
"353","laten","NL","Inducive","Tr","Tr"
"354","laten","BE","Inducive","Tr","Tr"
"355","doen","BE","Inducive","Intr","Intr"
"356","doen","BE","Volitional","Tr","Tr"
"357","doen","BE","Volitional","Intr","Intr"
"358","doen","NL","Volitional","Tr","Tr"
"359","laten","BE","Volitional","Intr","Intr"
"360","laten","BE","Inducive","Intr","Intr"
"361","laten","NL","Inducive","Tr","Tr"
"362","laten","BE","Inducive","Tr","Tr"
"363","laten","NL","Volitional","Intr","Intr"
"364","doen","NL","Volitional","Intr","Intr"
"365","laten","BE","Inducive","Intr","Intr"
"366","laten","BE","Inducive","Tr","Tr"
"367","doen","BE","Affective","Intr","Intr"
"368","laten","NL","Inducive","Tr","Tr"
"369","laten","NL","Affective","Tr","Tr"
"370","laten","NL","Inducive","Intr","Intr"
"371","laten","BE","Volitional","Intr","Intr"
"372","laten","NL","Volitional","Intr","Intr"
"373","laten","NL","Inducive","Intr","Intr"
"374","laten","BE","Inducive","Tr","Tr"
"375","laten","NL","Volitional","Intr","Intr"
"376","laten","NL","Inducive","Tr","Tr"
"377","laten","NL","Inducive","Tr","Tr"
"378","laten","BE","Inducive","Tr","Tr"
"379","doen","NL","Inducive","Intr","Intr"
"380","laten","NL","Inducive","Intr","Intr"
"381","laten","NL","Physical","Intr","Intr"
"382","laten","NL","Volitional","Intr","Intr"
"383","doen","BE","Physical","Intr","Intr"
"384","laten","BE","Inducive","Tr","Tr"
"385","laten","NL","Inducive","Intr","Intr"
"386","laten","BE","Inducive","Tr","Tr"
"387","laten","NL","Inducive","Intr","Intr"
"388","doen","NL","Affective","Intr","Intr"
"389","laten","BE","Volitional","Intr","Intr"
"390","laten","NL","Inducive","Tr","Tr"
"391","laten","BE","Volitional","Intr","Intr"
"392","laten","BE","Inducive","Tr","Tr"
"393","doen","BE","Affective","Intr","Intr"
"394","laten","BE","Volitional","Tr","Tr"
"395","doen","NL","Volitional","Intr","Intr"
"396","doen","NL","Physical","Intr","Tr"
"397","laten","NL","Volitional","Intr","Tr"
"398","laten","NL","Volitional","Intr","Intr"
"399","laten","BE","Volitional","Intr","Intr"
"400","laten","NL","Inducive","Intr","Intr"
"401","laten","BE","Volitional","Intr","Intr"
"402","doen","BE","Inducive","Tr","Tr"
"403","laten","NL","Inducive","Tr","Tr"
"404","laten","NL","Volitional","Intr","Intr"
"405","doen","NL","Inducive","Intr","Intr"
"406","doen","BE","Physical","Intr","Intr"
"407","laten","BE","Inducive","Intr","Intr"
"408","laten","BE","Inducive","Intr","Intr"
"409","laten","NL","Volitional","Intr","Intr"
"410","doen","NL","Affective","Intr","Intr"
"411","laten","BE","Volitional","Intr","Intr"
"412","laten","NL","Inducive","Intr","Intr"
"413","doen","BE","Affective","Intr","Intr"
"414","laten","BE","Volitional","Intr","Intr"
"415","laten","BE","Physical","Intr","Intr"
"416","laten","NL","Volitional","Intr","Intr"
"417","laten","NL","Inducive","Intr","Intr"
"418","laten","NL","Volitional","Intr","Intr"
"419","laten","NL","Volitional","Intr","Intr"
"420","doen","BE","Affective","Intr","Intr"
"421","laten","NL","Volitional","Intr","Intr"
"422","laten","BE","Volitional","Intr","Intr"
"423","doen","NL","Affective","Intr","Intr"
"424","laten","NL","Inducive","Tr","Tr"
"425","laten","BE","Inducive","Tr","Tr"
"426","doen","BE","Affective","Intr","Intr"
"427","laten","NL","Inducive","Tr","Tr"
"428","laten","NL","Volitional","Intr","Intr"
"429","laten","NL","Inducive","Tr","Tr"
"430","laten","NL","Inducive","Tr","Tr"
"431","doen","BE","Affective","Tr","Tr"
"432","doen","NL","Physical","Intr","Intr"
"433","doen","NL","Physical","Intr","Intr"
"434","doen","NL","Physical","Intr","Intr"
"435","laten","BE","Inducive","Intr","Intr"
"436","laten","BE","Inducive","Tr","Tr"
"437","laten","BE","Volitional","Intr","Intr"
"438","laten","BE","Inducive","Intr","Intr"
"439","laten","BE","Inducive","Intr","Intr"
"440","laten","NL","Volitional","Intr","Intr"
"441","laten","BE","Inducive","Tr","Tr"
"442","doen","BE","Affective","Tr","Tr"
"443","doen","BE","Affective","Intr","Intr"
"444","laten","NL","Inducive","Intr","Intr"
"445","doen","NL","Affective","Intr","Intr"
"446","laten","NL","Inducive","Tr","Tr"
"447","laten","NL","Inducive","Tr","Tr"
"448","laten","BE","Volitional","Intr","Intr"
"449","doen","BE","Physical","Intr","Intr"
"450","laten","NL","Inducive","Tr","Tr"
"451","laten","NL","Volitional","Intr","Tr"
"452","doen","BE","Volitional","Tr","Tr"
"453","doen","BE","Physical","Intr","Intr"
"454","laten","NL","Inducive","Tr","Tr"
"455","laten","NL","Inducive","Tr","Tr"
