"","X","Verb","WrittenFrequency","FamilySize","LengthInLetters","VerbalSynsets","MeanBigramFrequency","NcountStem","Regularity","InflectionalEntropy","Auxiliary","Valency","NVratio","WrittenSpokenRatio"
"1",370,"glippen",6.03068526026126,1.79175946922805,4,2,12.71,8,"regular",1.93047,"zijn",3,-4.42124734782716,1.09861228866811
"2",472,"monsteren",4.93447393313069,3.13549421592915,7,2,14.33,1,"regular",2.22374,"hebben",2,1.91034154607757,-2.11021320034659
"3",157,"waaien",6.85329909318608,2.63905732961526,4,3,13.29,17,"irregular",2.6831,"hebben",4,-6.85329909318608,0.916290731874155
"4",425,"stompen",5.09375020080676,2.39789527279837,5,1,13.32,6,"regular",2.43111,"hebben",1,0.0823995317670665,-1.20397280432594
"5",50,"smijten",6.85435450225502,2.39789527279837,5,1,13.03,2,"irregular",2.05856,"hebben",3,-6.85435450225502,0.802346472524937
"6",521,"smeden",5.69035945432406,2.30258509299405,5,3,13.7,6,"regular",2.16686,"hebben",4,-5.69035945432406,1.38629436111989
"7",92,"neigen",6.84481547920826,1.09861228866811,4,3,13.78,1,"regular",1.82585,"hebben",2,-6.84481547920826,-0.405465108108165
"8",8,"rijzen",7.37337430991005,2.19722457733622,4,4,13.43,15,"irregular",2.22852,"zijn",2,-6.27476202124194,1.09861228866811
"9",308,"juichen",6.41345895716736,1.79175946922805,5,1,12.86,0,"regular",2.67985,"hebben",2,-6.41345895716736,1.70474809223843
"10",407,"treuren",5.61677109766657,2.07944154167984,5,2,13.63,0,"regular",2.6078,"hebben",2,-5.61677109766657,1.94591014905531
"11",315,"schoppen",6.89162589705225,3.13549421592915,5,2,13.67,8,"regular",2.45375,"hebben",4,-0.910211685797773,-0.931558204004943
"12",522,"pogen",6.75925527066369,2.30258509299405,4,1,13.33,12,"regular",2.36412,"hebben",1,-6.75925527066369,2.484906649788
"13",397,"spitten",4.58496747867057,2.30258509299405,4,1,13.44,8,"regular",1.49917,"hebben",2,0.0689928714869508,-0.693147180559945
"14",335,"waken",6.57228254269401,3.3322045101752,4,4,14.11,16,"regular",2.44183,"hebben",2,-6.57228254269401,2.484906649788
"15",393,"wikken",4.93447393313069,0,3,0,13.83,24,"regular",2.27286,"hebben",1,-4.93447393313069,0
"16",303,"munten",3.93182563272433,2.83321334405622,4,1,13.39,9,"regular",2.12278,"hebben",1,2.45168100215968,-1.73460105538811
"17",635,"polsen",4.86753445045558,2.484906649788,4,1,13.14,13,"regular",1.75053,"hebben",1,2.05707794559298,-1.79175946922806
"18",413,"sluipen",6.83087423464618,3.04452243772342,5,1,12.67,5,"irregular",2.48691,"zijn",2,-6.83087423464618,2.07944154167984
"19",244,"blunderen",3.63758615972639,0.693147180559945,7,1,13.92,4,"regular",1.44841,"hebben",1,0.805065096763931,0.0800427076735364
"20",374,"soppen",4.56434819146784,1.38629436111989,3,3,13.28,17,"regular",2.70706,"hebben",3,-0.194900339000815,-1.25276296849537
"21",121,"gooien",8.43272403478979,3.17805383034795,4,1,12.79,10,"regular",2.34347,"hebben",5,-4.93621647332331,-0.130053128248197
"22",328,"treffen",8.2534880283459,3.13549421592915,4,5,13.44,7,"irregular",2.51635,"hebben",4,-7.56034084778596,1.22377543162212
"23",640,"twisten",5.00394630594546,2.89037175789616,5,4,13.84,1,"regular",1.69894,"hebben",3,-0.0341330063694585,0
"24",470,"kammen",5.91889385427315,2.99573227355399,3,1,13.24,24,"regular",2.15625,"hebben",2,-0.078252196899748,-0.45953232937844
"25",202,"stijgen",8.11252776347864,2.89037175789616,5,3,13.64,2,"irregular",2.56193,"zijn",7,-8.11252776347864,2.484906649788
"26",123,"liegen",7.34923082461333,1.6094379124341,4,2,13.99,8,"irregular",2.30179,"hebben",3,-7.34923082461333,2.30258509299405
"27",219,"blaken",4.55387689160054,0.693147180559945,5,2,13.71,8,"regular",2.45733,"hebben",2,-4.55387689160054,2.77258872223978
"28",511,"gapen",6.27852142416584,2.07944154167984,4,2,13.48,11,"regular",2.59922,"hebben",4,-5.5853742436059,1.79175946922805
"29",91,"flikken",4.15888308335967,1.6094379124341,4,1,12.87,6,"regular",2.09805,"hebben",2,-1.67397643357167,-0.980829253011726
"30",138,"deinzen",5.62762111369064,1.09861228866811,5,0,14.54,3,"regular",1.70889,"zijn",1,-5.62762111369064,1.94591014905531
"31",681,"tekenen",7.87663846097546,4.78749174278205,5,4,14.83,13,"regular",2.38767,"hebben",6,0.381265732490211,-1.49343899857122
"32",260,"snoepen",4.89034912822175,2.56494935746154,5,2,12.95,8,"regular",2.01949,"hebben",2,-0.275228611380494,-2.67414864942653
"33",477,"wekken",8.06211758275474,3.63758615972639,3,2,14.07,22,"regular",2.25843,"hebben",3,-8.06211758275474,0.8754687373539
"34",350,"zwijgen",8.55487425838393,2.30258509299405,5,2,13.11,3,"irregular",2.58137,"hebben",3,-8.55487425838393,2.54770755102703
"35",683,"spotten",7.13089883029635,3.25809653802148,4,4,13.34,6,"regular",1.93528,"hebben",4,-0.942634707213757,-0.356674943938732
"36",39,"dichten",5.76519110278484,4.45434729625351,5,2,14.26,9,"regular",2.00539,"hebben",3,-1.29928298413026,-3.64021428213266
"37",216,"tellen",7.98888225330923,3.97029191355212,3,6,14.45,20,"regular",2.35996,"hebben",10,-2.62290623828738,0.21868920096483
"38",559,"staan",11.2849829168693,3.85014760171006,3,13,13.48,2,"irregular",2.17872,"hebben",24,-11.2849829168693,0.917800925969384
"39",667,"fluiten",7.00124562206948,3.2188758248682,5,5,12.89,4,"irregular",2.38186,"hebben",3,-1.55450825040317,-0.55431073570573
"40",624,"trimmen",3.71357206670431,1.09861228866811,4,2,13.19,8,"regular",1.87095,"hebben",2,-3.71357206670431,0.693147180559945
"41",280,"sprinten",4.51085950651685,1.6094379124341,6,1,13.78,2,"regular",2.16336,"hebben",1,-0.128832871842969,-1.90954250488444
"42",176,"joelen",5.2257466737132,1.38629436111989,4,1,13.36,10,"regular",2.66293,"hebben",2,-5.2257466737132,1.09861228866811
"43",45,"scheren",5.41164605185504,3.13549421592915,6,4,14.53,7,"regular",2.49102,"hebben",6,-2.8466966943935,-0.117783035656384
"44",155,"wanen",5.63121178182137,2.94443897916644,4,1,14.93,15,"regular",2.51726,"hebben",2,-0.180173328255665,-0.405465108108164
"45",447,"brommen",6.37161184723186,2.56494935746154,4,5,13.44,12,"regular",2.02574,"hebben",3,-3.48124008933569,0.287682072451781
"46",567,"schatten",7.26612877955645,3.43398720448515,5,2,14.19,5,"regular",2.23679,"hebben",5,-0.187787199998779,-0.260076806359891
"47",476,"wenken",6.54678541076052,1.38629436111989,4,1,14.26,9,"regular",1.67472,"hebben",2,-1.05784768460384,-1.09861228866811
"48",46,"scheren",0,3.13549421592915,6,4,14.53,7,"regular",0,"hebben",6,2.56494935746154,-2.19722457733622
"49",441,"winnen",8.12681372072611,4.53259949315326,3,6,14.63,21,"irregular",2.17569,"hebben",8,-8.12681372072611,0.559615787935423
"50",499,"spelden",4.67282883446191,2.70805020110221,5,1,13.61,2,"regular",1.98734,"hebben",2,0.679029299014161,-1.67397643357167
"51",201,"berichten",5.85220247977447,3.2188758248682,7,0,14.21,5,"regular",1.72626,"hebben",1,-5.85220247977447,-1.4395388756387
"52",77,"schaatsen",4.91998092582813,2.39789527279837,7,1,14.01,1,"regular",1.64096,"hebben",1,-0.761097842468454,-1.09861228866811
"53",230,"plegen",7.22766249872865,2.83321334405622,5,3,13.69,2,"regular",2.04002,"hebben",3,-7.22766249872865,1.29928298413026
"54",63,"loven",5.3890717298165,2.39789527279837,4,1,13.32,13,"regular",2.68717,"hebben",3,-0.744680830675128,0.182321556793955
"55",257,"snokken",3.68887945411394,0.693147180559945,4,1,12.93,10,"regular",2.52603,"hebben",3,-1.1239300966524,0.693147180559945
"56",605,"metselen",4.87519732320115,2.56494935746154,6,2,14.02,2,"regular",2.1813,"hebben",3,-4.87519732320115,0.405465108108164
"57",691,"schenken",8.22844388300403,3.29583686600433,6,3,14.16,1,"irregular",2.24546,"hebben",3,-8.22844388300403,1.88273124743378
"58",265,"tooien",5.2257466737132,2.07944154167984,4,1,13.07,13,"regular",2.14073,"hebben",1,-2.45315795147342,1.38629436111989
"59",558,"wachten",9.60508151672137,4.43081679884331,5,3,14.11,9,"regular",1.95365,"hebben",7,-2.41139569832626,-0.416001307219407
"60",218,"wijden",7.3038432252777,3.80666248977032,4,3,13.82,15,"regular",2.35907,"hebben",2,-7.3038432252777,-0.959775843813894
"61",498,"krassen",6.01859321449623,2.39789527279837,4,3,13.5,11,"regular",2.81123,"hebben",4,-1.29120539578389,-0.8754687373539
"62",243,"krijsen",6.40522845803084,1.09861228866811,5,1,13.35,5,"irregular",2.44931,"hebben",2,-3.76617112841558,1.09861228866811
"63",651,"weiden",5.07517381523383,1.79175946922805,4,2,13.93,6,"regular",1.45789,"hebben",3,-5.07517381523383,0.693147180559945
"64",161,"mikken",5.78074351579233,1.09861228866811,3,3,13.84,20,"regular",2.43748,"hebben",4,-3.47815842279828,0
"65",554,"pikken",6.4723462945009,3.04452243772342,3,5,13.16,22,"regular",2.23299,"hebben",10,-0.367553062085916,-0.864997437486605
"66",345,"wroeten",5.19295685089021,1.38629436111989,5,2,13.66,2,"regular",2.2603,"hebben",5,-5.19295685089021,0.916290731874155
"67",610,"strijden",6.74051935960622,4.59511985013459,6,3,13.77,1,"irregular",2.67383,"hebben",4,1.80351048576357,-2.19310086015236
"68",51,"wenen",6.65672652417839,1.09861228866811,4,1,15.15,20,"regular",1.46054,"hebben",2,-6.65672652417839,2.63905732961526
"69",665,"hoeven",9.2299469016151,2.83321334405622,4,2,13.61,17,"regular",2.03986,"hebben",4,-4.61482638477384,0.0933671740116973
"70",126,"zeggen",11.8115697324056,3.8286413964891,3,3,14.06,11,"regular",1.73996,"hebben",13,-7.36891847591526,-0.60171849094386
"71",584,"werven",5.12396397940326,2.89037175789616,4,2,13.41,7,"irregular",2.06245,"hebben",1,-0.387765531008763,-2.01490302054226
"72",553,"praten",9.58678853101385,3.97029191355212,5,3,14.02,6,"regular",1.75802,"hebben",7,-5.57945534578138,-0.0267702410646047
"73",110,"mixen",4.00733318523247,1.09861228866811,3,2,11.09,7,"regular",2.19298,"hebben",1,-1.06289420606603,-2.63905732961526
"74",504,"kraaien",5.64897423816121,2.07944154167984,5,2,12.91,8,"regular",2.42001,"hebben",3,0.239903720171674,-1.38629436111989
"75",542,"prijzen",4.15888308335967,4.56434819146784,5,2,13.34,3,"regular",1.47303,"hebben",4,4.22751781780654,-6.83625927727707
"76",278,"spannen",7.68063742756094,4.14313472639153,4,4,14.03,4,"regular",2.32198,"hebben",5,-3.47594480816997,0.998528830111127
"77",239,"bukken",6.83947643822884,0.693147180559945,3,2,12.92,13,"regular",2.15877,"hebben",2,-6.83947643822884,1.29928298413026
"78",228,"putten",6.58617165485467,3.25809653802148,3,3,12.84,23,"regular",1.97482,"hebben",3,-0.51082562376599,0.405465108108164
"79",351,"woelen",5.90808293816893,2.89037175789616,4,2,14.01,13,"regular",2.33177,"hebben",6,-5.90808293816893,1.09861228866811
"80",555,"willen",11.2476309113961,3.93182563272433,3,3,13.53,20,"regular",2.15648,"hebben",4,-3.27482012727467,0.0362533976267088
"81",631,"toetsen",6.89060912014717,3.04452243772342,5,1,14.04,2,"regular",1.57635,"hebben",2,-1.19687698134447,-2.53897387105828
"82",673,"ledigen",4.86753445045558,2.63905732961526,5,0,13.78,2,"regular",2.30689,"hebben",1,-4.86753445045558,0.405465108108164
"83",594,"grendelen",4.23410650459726,1.94591014905531,7,1,14.45,0,"regular",2.52082,"hebben",1,1.48620527201015,-1.44691898293633
"84",607,"keuren",6.26720054854136,3.36729582998647,4,1,13.67,9,"regular",2.52062,"hebben",1,-1.53981272982902,-0.287682072451781
"85",591,"kussen",7.76895604453833,2.39789527279837,3,1,13.27,15,"regular",1.77798,"hebben",3,-1.10327232675592,0.262364264467491
"86",229,"proesten",5.29330482472449,0.693147180559945,6,2,13.9,2,"regular",2.49555,"hebben",2,-5.29330482472449,0.916290731874155
"87",646,"wensen",8.29853954537488,2.89037175789616,4,2,14.53,12,"regular",2.62214,"hebben",5,-0.377366823787865,-0.814508037564212
"88",27,"hokken",4.12713438504509,3.09104245335832,3,2,13.78,26,"regular",2.47051,"hebben",4,2.34521190945581,-2.53897387105828
"89",464,"pleiten",6.83195356556585,2.19722457733622,5,3,13.73,2,"regular",2.23801,"hebben",5,-2.27807667396531,-0.199128675110336
"90",250,"schrapen",6.32256523992728,2.39789527279837,7,2,13.38,1,"regular",2.05872,"hebben",5,-5.22395295125917,1.6094379124341
"91",132,"bannen",5.39362754635236,2.70805020110221,3,2,14.44,22,"regular",1.44472,"hebben",3,0.486905440048338,-1.64865862558738
"92",210,"wijzen",9.26700421909372,4.30406509320417,4,5,13.6,13,"irregular",2.33039,"hebben",9,-3.96369931103465,0.456431551700192
"93",54,"doemen",6.57368016696065,2.19722457733622,4,1,13.85,11,"regular",2.09649,"hebben",3,-2.49614272305493,0
"94",113,"pluizen",4.02535169073515,2.19722457733622,5,2,13.23,3,"irregular",1.64757,"hebben",3,-0.44183275227904,-1.09861228866811
"95",623,"rapen",6.38856140554563,2.484906649788,4,2,13.42,14,"regular",2.00511,"hebben",3,-1.92265328689105,0.75377180237638
"96",658,"nippen",5.22035582507832,0.693147180559945,3,1,13.03,15,"regular",2.04936,"hebben",1,-5.22035582507832,1.6094379124341
"97",388,"hollen",6.95272864462487,3.8286413964891,3,1,13.73,26,"regular",2.20802,"hebben",3,-0.225296919774014,-2.95491027903374
"98",318,"snuiven",6.71780469502369,1.94591014905531,5,3,12.29,2,"irregular",2.12553,"hebben",4,-3.62676224166538,2.70805020110221
"99",190,"drinken",8.82246957226897,3.66356164612965,5,2,13.82,5,"irregular",2.47049,"hebben",5,-8.82246957226897,1.37792611144937
"100",141,"knarsen",5.8171111599632,1.38629436111989,5,1,13.39,2,"regular",2.59918,"hebben",3,-5.8171111599632,0.287682072451781
"101",263,"boren",6.26720054854136,3.29583686600433,4,4,14.06,16,"regular",2.55759,"hebben",7,-1.92339512668768,-1.34373474670109
"102",479,"schuwen",5.26785815906333,2.19722457733622,5,1,13.06,3,"regular",2.45338,"hebben",1,-5.26785815906333,-1.38629436111989
"103",509,"lappen",5.21493575760899,3.58351893845611,3,6,13.19,21,"regular",2.18142,"hebben",6,1.08401348924696,-1.01160091167848
"104",44,"prutsen",4.70953020131233,2.07944154167984,5,3,12.93,0,"regular",1.98384,"hebben",4,-2.91777073208428,-0.405465108108164
"105",519,"leunen",7.64204440287326,2.19722457733622,4,2,13.82,7,"regular",1.9803,"hebben",2,-7.64204440287326,1.44691898293633
"106",454,"richten",9.02280524812934,4.30406509320417,5,7,13.84,7,"regular",2.33875,"hebben",11,-9.02280524812934,1.78835231090644
"107",552,"reiken",7.33367639565768,2.77258872223978,4,2,13.72,5,"regular",2.1811,"hebben",4,-7.33367639565768,2.99573227355399
"108",527,"happen",5.91350300563827,2.07944154167984,3,3,13.58,19,"regular",2.48292,"hebben",4,0.117182254622993,-1.25276296849537
"109",460,"slurpen",5.18178355029209,1.38629436111989,5,1,12.57,2,"regular",2.57543,"hebben",3,-4.08317126162398,0.916290731874155
"110",630,"stellen",10.2065137987225,5.47227067367148,4,7,14.37,12,"regular",2.34588,"hebben",14,-3.13578969146223,0.58548516791384
"111",469,"poetsen",6.5191472879404,2.63905732961526,5,1,13.61,4,"regular",2.28942,"hebben",2,-2.66899968623034,0.693147180559945
"112",536,"helpen",9.3716085195723,2.56494935746154,4,5,13.65,11,"irregular",2.0293,"hebben",8,-9.3716085195723,1.19392246847243
"113",3,"blijken",9.88318279919576,1.79175946922805,5,1,13.84,6,"irregular",2.00458,"zijn",4,-3.1923405217772,-1.52605630349505
"114",616,"braden",5.92425579741453,2.56494935746154,5,1,13.73,6,"regular",1.40115,"hebben",2,-5.92425579741453,1.94591014905531
"115",601,"splitsen",6.0591231955818,2.19722457733622,6,3,13.39,1,"regular",2.28501,"hebben",2,-4.96051090691369,1.6094379124341
"116",112,"pluizen",2.19722457733622,2.19722457733622,5,2,13.23,3,"regular",1.90564,"hebben",3,1.38629436111989,-1.79175946922805
"117",42,"troosten",6.83625927727707,2.83321334405622,6,2,13.84,3,"regular",2.12385,"hebben",2,-0.161697885462641,-0.325422400434628
"118",637,"stampen",6.35088571671474,2.07944154167984,5,5,13.15,2,"regular",2.70167,"hebben",8,-4.04830062372069,1.38629436111989
"119",336,"slachten",5.4380793089232,3.17805383034795,6,1,13.71,4,"regular",1.66747,"hebben",2,-1.80049314919681,0.22314355131421
"120",574,"leiden",9.30164253038297,5.06890420222023,4,6,13.75,4,"regular",2.30002,"hebben",8,-9.30164253038297,1.03407376753054
"121",254,"falen",6.91572344863131,0.693147180559945,4,2,13.1,13,"regular",2.10545,"hebben",3,-6.91572344863131,1.6094379124341
"122",151,"sussen",6.18826412308259,0,3,1,12.94,15,"regular",2.58173,"hebben",1,-6.18826412308259,1.29928298413026
"123",513,"wrijven",7.61233683716775,2.63905732961526,5,4,12.76,1,"irregular",2.12214,"hebben",6,-7.61233683716775,3.13549421592915
"124",298,"smachten",4.26267987704132,0.693147180559945,6,1,13.53,1,"regular",2.55217,"hebben",2,-4.26267987704132,1.09861228866811
"125",240,"bluffen",4.61512051684126,1.94591014905531,4,1,12.16,3,"regular",2.15605,"hebben",2,-0.0933319397922192,-1.25276296849537
"126",523,"noemen",9.81749383936915,2.99573227355399,4,2,13.57,7,"regular",2.57313,"hebben",3,-9.81749383936915,0.153011727540128
"127",506,"wuiven",6.93828448401696,1.79175946922805,4,2,12.28,6,"irregular",2.37173,"hebben",3,-6.93828448401696,2.83321334405622
"128",505,"wuiven",6.93828448401696,1.79175946922805,4,2,12.28,6,"regular",2.37173,"hebben",3,-6.93828448401696,2.83321334405622
"129",490,"mesten",3.49650756146648,3.09104245335832,4,3,14.49,17,"regular",2.23629,"hebben",4,1.87413046666118,-3.58351893845611
"130",621,"halen",9.78408445528835,4.33073334028633,4,3,14.31,20,"regular",2.13548,"hebben",8,-4.52658908326056,0.873528872536074
"131",648,"baren",6.25958146406492,6.18826412308259,4,1,14.16,18,"regular",2.40956,"hebben",2,-1.63460865078065,-0.693147180559945
"132",602,"durven",8.58241897633394,1.38629436111989,4,1,12.67,4,"regular",2.35589,"hebben",1,-3.07303063970597,0.55467750629484
"133",529,"melden",7.49164547360513,2.94443897916644,4,2,14.19,7,"regular",2.2356,"hebben",4,-7.49164547360513,1.38629436111989
"134",72,"snappen",7.02642680869964,2.56494935746154,4,3,12.76,5,"regular",2.13769,"hebben",3,-5.92781452003153,-0.679749850988124
"135",326,"kneden",5.75890177387728,1.09861228866811,5,2,13.53,3,"regular",2.42618,"hebben",1,-5.75890177387728,2.19722457733622
"136",617,"kleuren",6.76272950693188,4.77912349311153,5,6,13.42,3,"regular",2.48124,"hebben",6,2.02769179996599,-2.56494935746154
"137",214,"strooien",6.15485809401642,2.77258872223978,6,1,13.22,3,"regular",2.38183,"hebben",2,-6.15485809401642,1.25276296849537
"138",135,"storen",7.23849684089437,3.78418963391826,5,2,14.23,10,"regular",2.96007,"hebben",2,-7.23849684089437,0.719122666963206
"139",686,"wurgen",5.63835466933375,1.94591014905531,4,1,12.7,2,"regular",2.34987,"hebben",1,-5.63835466933375,1.6094379124341
"140",516,"stemmen",7.61529833982581,4.69134788222914,4,4,14,10,"regular",2.28528,"hebben",6,1.85686769005692,-2.20104867377462
"141",282,"gieren",6.35262939631957,2.07944154167984,4,4,14.35,18,"regular",2.51465,"hebben",5,-0.477698665467536,0.51082562376599
"142",274,"sjouwen",5.67332326717149,2.30258509299405,5,4,12.18,1,"regular",2.38373,"hebben",4,-4.2870289060516,0.22314355131421
"143",167,"wurmen",4.88280192258637,1.94591014905531,4,2,12.54,3,"regular",2.03168,"hebben",2,-1.12160180689281,-0.693147180559945
"144",158,"betten",5.11198778835654,0,3,1,14.69,24,"regular",1.81764,"hebben",1,-5.11198778835654,1.46633706879343
"145",115,"tennissen",4.76217393479776,2.77258872223978,6,1,14.3,2,"regular",1.38687,"hebben",1,-0.431440594511425,-2.39789527279837
"146",496,"gespen",4.29045944114839,1.79175946922805,4,1,13.78,3,"regular",2.0548,"hebben",2,0.497032301633655,0
"147",436,"folteren",4.9416424226093,1.94591014905531,6,1,13.29,3,"regular",2.61302,"hebben",1,-4.9416424226093,1.38629436111989
"148",246,"tobben",5.36597601502185,1.79175946922805,3,2,12.43,13,"regular",1.97312,"hebben",3,-5.36597601502185,2.07944154167984
"149",525,"sloven",4.70048036579242,2.19722457733622,5,1,13.22,7,"regular",2.2807,"hebben",1,-1.92789164355264,-0.405465108108164
"150",453,"schelen",7.01750614294126,1.38629436111989,6,3,14.27,5,"regular",1.58907,"hebben",8,-7.01750614294126,-1.38629436111989
"151",182,"beven",7.23128700432762,1.79175946922805,4,2,13.81,15,"regular",2.60437,"hebben",3,-7.23128700432762,2.33537491581704
"152",524,"enteren",3.46573590279973,1.09861228866811,5,2,14.95,5,"regular",1.44764,"hebben",2,-1.38629436111989,-0.405465108108164
"153",119,"vluchten",7.51588908521513,3.93182563272433,6,2,13.21,4,"regular",2.57335,"zijn",5,0.285911316693848,-0.980829253011727
"154",544,"prijzen",6.89467003943348,4.56434819146784,5,2,13.34,3,"irregular",2.47128,"hebben",4,1.49173086173273,-3.89182029811063
"155",361,"doen",11.1743430033897,4.14313472639153,3,9,14.6,20,"irregular",2.39017,"hebben",14,-11.1743430033897,0.182137241983738
"156",11,"knutselen",4.70048036579242,1.38629436111989,7,3,12.8,1,"regular",2.31476,"hebben",2,-4.70048036579242,0.405465108108164
"157",417,"slikken",7.6434829070772,2.07944154167984,4,2,13.6,10,"regular",2.14591,"hebben",3,-4.14697534561072,2.10413415427021
"158",217,"staken",6.86589107488344,2.83321334405622,5,2,13.92,13,"regular",1.66755,"hebben",3,-2.12969262648894,-0.22314355131421
"159",404,"schetsen",6.97260625130175,2.30258509299405,6,2,14.11,1,"regular",2.31412,"hebben",1,-0.72263100904227,-0.998528830111127
"160",233,"voelen",10.2831219006098,4.70048036579242,4,7,14.26,15,"regular",2.14303,"hebben",9,-10.2831219006098,1.35293876741901
"161",28,"hevelen",3.43398720448515,1.09861228866811,5,0,14.29,6,"regular",1.36997,"hebben",1,-1.23676262714893,0.693147180559945
"162",321,"grieven",4.12713438504509,0.693147180559945,5,1,13.52,6,"regular",2.50892,"hebben",2,0.507594603184544,0.693147180559945
"163",100,"streven",7.67229245562876,2.56494935746154,6,1,13.74,5,"regular",2.01546,"hebben",2,-7.67229245562876,1.79175946922806
"164",271,"getroosten",5.31811999384422,0.693147180559945,8,0,14.08,0,"regular",1.54375,"hebben",2,-5.31811999384422,1.28093384546206
"165",471,"omarmen",5.18178355029209,0,5,0,13.65,0,"regular",2.35719,"hebben",1,-5.18178355029209,0.693147180559945
"166",548,"vangen",8.14206328310415,3.43398720448515,4,5,14.48,13,"irregular",2.30255,"hebben",2,-8.14206328310415,1.6376087894008
"167",287,"trillen",7.73149202924568,2.83321334405622,4,3,13.48,10,"regular",2.52866,"hebben",2,-7.03834484868574,1.09861228866811
"168",223,"spugen",6.07993319509559,1.94591014905531,5,3,12.44,0,"irregular",2.6774,"hebben",3,-1.61402507644101,0.451985123743057
"169",276,"duchten",5.24174701505964,0.693147180559945,5,1,13.63,7,"regular",1.94887,"hebben",1,-5.24174701505964,1.09861228866811
"170",657,"schroeven",5.4249500174814,2.89037175789616,7,1,13.31,2,"regular",2.08967,"hebben",5,0.224024220679803,-1.20397280432594
"171",537,"openen",8.48673398393153,4.44265125649032,4,5,14.73,7,"regular",2.26084,"hebben",3,-8.48673398393153,-2.78767702189098
"172",179,"weten",11.1084998164367,2.56494935746154,4,4,14.79,22,"irregular",1.74782,"hebben",6,-11.1084998164367,-0.49689067147024
"173",583,"raspen",5.31811999384422,1.6094379124341,4,1,13.14,3,"regular",2.61708,"hebben",2,-2.18262577791507,1.09861228866811
"174",608,"staren",8.3221510702129,1.94591014905531,5,1,14.29,8,"regular",1.92318,"hebben",1,-4.73863213175679,1.76358859226136
"175",581,"roepen",9.62324440918135,3.97029191355212,4,4,13.33,15,"irregular",1.93275,"hebben",8,-3.03569439435655,0.828321958928198
"176",517,"martelen",6.01859321449623,2.83321334405622,6,2,14.14,5,"regular",2.52859,"hebben",5,-6.01859321449623,2.19722457733622
"177",211,"plagen",6.80239476332431,2.63905732961526,5,2,13.47,5,"regular",2.69493,"hebben",2,-1.81878814161597,-0.847297860387203
"178",438,"kiezen",8.9300972286214,4.39444915467244,4,3,13.85,15,"irregular",2.15145,"hebben",5,-2.94616094793421,0.527754685866438
"179",288,"houden",10.7474011212345,5.08140436498446,4,16,13.62,9,"irregular",2.22242,"hebben",17,-10.7474011212345,2.28104324921929
"180",181,"honen",5.41164605185504,1.79175946922805,4,1,14.58,14,"regular",2.61688,"hebben",2,-1.09415793831873,0
"181",626,"kletsen",6.38856140554563,2.83321334405622,5,5,13.77,7,"regular",2.44735,"hebben",6,-2.62736128985207,1.01160091167848
"182",259,"schijten",4.78749174278205,2.63905732961526,6,1,13.63,6,"irregular",1.9213,"hebben",2,-0.836248024200618,0
"183",65,"snoeren",5.16478597392351,2.70805020110221,5,1,13.7,7,"regular",2.40936,"hebben",1,0.268936029630725,-0.356674943938733
"184",148,"kopen",8.84548923675327,4.54329478227,4,1,13.72,16,"irregular",2.17676,"hebben",5,-2.0667043390681,-0.234532198278218
"185",599,"neurien",5.84354441703136,0.693147180559945,6,0,13.9,0,"regular",2.37046,"hebben",0,-5.84354441703136,1.94591014905531
"186",578,"brullen",7.0184017990692,1.79175946922805,4,4,13,7,"regular",2.19846,"hebben",3,-7.0184017990692,1.01160091167848
"187",295,"klagen",7.34277918933185,3.04452243772342,5,2,13.58,7,"regular",2.3593,"hebben",3,-7.34277918933185,0.810930216216329
"188",146,"groeten",7.02908756414966,2.30258509299405,5,1,14.19,9,"regular",2.29747,"hebben",1,-0.555196867797387,0.980829253011727
"189",433,"sarren",4.53259949315326,0.693147180559945,3,1,13.69,15,"regular",2.19909,"hebben",1,-4.53259949315326,0.693147180559945
"190",90,"slagen",8.16876982367527,0.693147180559945,5,4,13.62,11,"regular",2.44552,"zijn",4,-8.16876982367527,0.559615787935423
"191",376,"naaien",6.12029741895095,2.99573227355399,4,3,13.09,17,"regular",2.20098,"hebben",3,-6.12029741895095,1.22377543162212
"192",70,"stinken",6.97073007814353,2.39789527279837,5,1,13.91,3,"irregular",2.56101,"hebben",2,-6.97073007814353,1.79175946922805
"193",241,"gokken",5.56068163101553,1.94591014905531,3,3,13.3,18,"regular",1.80805,"hebben",3,-0.716494544556936,-1.85629799036563
"194",687,"kraken",7.16780918431644,2.39789527279837,5,5,13.59,11,"regular",2.71501,"hebben",3,-3.45423711761214,0.287682072451781
"195",58,"gniffelen",4.51085950651685,0,7,0,12.45,1,"regular",2.14757,"hebben",1,-4.51085950651685,0.693147180559945
"196",421,"morsen",5.36129216570943,1.79175946922805,4,1,13.95,9,"regular",2.59563,"hebben",2,-5.36129216570943,1.6094379124341
"197",622,"bellen",8.36474106822456,3.46573590279973,3,4,14.22,26,"regular",2.25145,"hebben",4,-1.08749334159308,-0.198097519388122
"198",33,"meppen",4.17438726989564,1.6094379124341,3,1,13.68,14,"regular",2.02823,"hebben",2,0.498441564566269,-0.916290731874155
"199",247,"sparen",7.04053639021596,3.63758615972639,5,5,13.86,5,"regular",2.14451,"hebben",3,-7.04053639021596,1.32913594727994
"200",526,"leuren",3.66356164612965,0.693147180559945,4,1,13.6,11,"regular",2.57247,"hebben",1,-3.66356164612965,1.09861228866811
