"","Word","POS","SER","CorteseImag","Conc","Syst","Freq","Iconicity"
"1","synagogue","Noun",NA,NA,4.54,NA,49,-1.266666667
"2","kiss","Verb",4.5,6.1,4.48,-0.000225,6179,1.25
"3","shock","Noun",3.09,3.6,4,-5.77e-05,1468,2.25
"4","resistance","Noun",NA,NA,2.68,NA,431,1.071428571
"5","slit","Verb",NA,4.3,3.68,-7.16e-05,194,1.384615385
"6","quantity","Noun",NA,NA,2.97,NA,95,0.666666667
"7","drumstick","Noun",NA,NA,4.96,NA,18,1.4
"8","smooch","Verb",NA,NA,4.21,NA,24,3.6
"9","deem","Verb",1.6,1.8,2.1,9.34e-05,30,-0.583333333
"10","swerve","Verb",3,5,4,-0.000105,34,2.636363636
"11","demon","Noun",3.8,NA,3.32,NA,1593,0.583333333
"12","sleep","Verb",4,5.5,4.44,6.73e-05,11625,0.769230769
"13","riot","Noun",NA,NA,4.45,NA,331,0
"14","lip","Noun",NA,6.8,4.96,-1.23e-05,548,0.714285714
"15","trot","Verb",3.33,3.8,4.11,-9.68e-05,92,2.1
"16","bug","Noun",2.9,6.7,5,-0.000147,1068,1.9
"17","rope","Noun",2.83,6.6,4.93,8.97e-05,1158,0
"18","boomerang","Noun",NA,NA,4.7,NA,47,1.181818182
"19","pot","Noun",3.82,6.2,4.81,-0.000369,1149,1.545454545
"20","resign","Verb",2.27,NA,2.25,NA,257,-0.857142857
"21","oink","Verb",NA,NA,3.24,NA,55,3.615384615
"22","claim","Verb",1.3,2.6,2.96,-7.03e-05,1295,-0.076923077
"23","tuna","Noun",5.4,NA,4.89,NA,408,0.153846154
"24","doubt","Verb",1.91,2.5,1.79,0.000168,3205,-0.230769231
"25","fire","Noun",NA,6.5,4.68,0.000205,10990,1.461538462
"26","puff","Noun",3.3,4.3,3.48,-9.71e-05,227,2.6
"27","woven","Verb",NA,NA,3.15,NA,32,1.1
"28","proof","Noun",2.1,3.1,2.67,NA,1754,0.75
"29","call","Verb",2.64,4.4,4,1.2e-05,43931,0.416666667
"30","celery","Noun",NA,NA,4.8,NA,95,-1.2
"31","invader","Noun",NA,NA,4.11,NA,28,1.272727273
"32","draw","Verb",2.73,5,3.97,1.54e-05,2061,0.2
"33","bark","Noun",4.64,5,4.52,-0.000173,280,-0.066666667
"34","chocolate","Noun",NA,NA,4.72,NA,1499,0.545454545
"35","music","Noun",6,NA,4.31,NA,7734,0.363636364
"36","repent","Verb",2.9,NA,1.96,NA,123,-1.2
"37","writing","Verb",NA,NA,3.7,NA,2852,0.357142857
"38","pig","Noun",2.5,6.8,5,-0.00021,1996,0.5
"39","knoll","Noun",2.4,3.7,4.27,2.5e-05,27,-0.818181818
"40","tiptoe","Verb",NA,NA,3.89,NA,45,1.9
"41","grasshopper","Noun",NA,NA,4.91,NA,47,2.3
"42","supper","Noun",5,NA,4.63,NA,988,-0.666666667
"43","flicker","Noun",NA,NA,3.59,NA,35,2.75
"44","knuckles","Noun",NA,NA,4.87,NA,176,1.1
"45","murk","Noun",1.64,2.5,NA,0.000113,5,1.692307692
"46","mope","Verb",3.17,3.3,2.17,NA,34,1.181818182
"47","cauliflower","Noun",NA,NA,5,NA,28,0.727272727
"48","train","Noun",4.45,6.3,4.79,-1.63e-05,4848,-0.090909091
"49","trudge","Verb",2.6,2.3,3.21,3.66e-05,12,0.8
"50","rattlesnake","Noun",NA,NA,5,NA,86,2.916666667
"51","piranha","Noun",NA,NA,4.76,NA,60,0.636363636
"52","dishwasher","Noun",NA,NA,4.86,NA,103,3.2
"53","dress","Noun",3.27,6,4.93,-5.5e-05,4447,0
"54","heaven","Noun",4,NA,1.81,NA,2887,0
"55","geography","Noun",NA,NA,3.11,NA,117,0.727272727
"56","amplifier","Noun",NA,NA,4.79,NA,16,2
"57","bayonet","Noun",NA,NA,4.77,NA,80,-1.4
"58","excitement","Noun",NA,NA,2.48,NA,628,1.461538462
"59","scoot","Verb",NA,NA,2.89,5.26e-05,152,3.545454545
"60","doll","Noun",2.91,6.4,5,-0.000146,1263,-0.428571429
"61","walrus","Noun",4.6,NA,5,NA,57,0.181818182
"62","belong","Verb",2.6,NA,1.43,NA,2263,-0.166666667
"63","cancer","Noun",4.2,NA,3.86,NA,1139,0
"64","trouble","Noun",2.82,NA,2.25,NA,11401,-0.5
"65","bedroom","Noun",4.5,NA,4.9,NA,1872,2.5
"66","blotch","Noun",3,4.2,3.86,NA,10,1.833333333
"67","success","Noun",3,NA,2.21,NA,1390,-0.846153846
"68","heredity","Noun",NA,NA,1.81,NA,13,0.5
"69","career","Noun",2.27,NA,2.54,NA,2305,0.071428571
"70","monkey","Noun",4.09,NA,4.9,NA,1709,0.285714286
"71","carnival","Noun",NA,NA,4.68,NA,363,0.583333333
"72","chirping","Verb",NA,NA,3.88,NA,50,3.923076923
"73","rumble","Noun",4.9,NA,3.73,NA,139,2.818181818
"74","rocket","Noun",3.78,NA,4.73,NA,604,0.9
"75","punk","Noun",2.27,4.3,3.1,-5.88e-05,1121,1.5
"76","calmness","Noun",NA,NA,1.83,NA,5,1.75
"77","republic","Noun",NA,NA,2.81,NA,286,0.230769231
"78","ghost","Noun",2.92,6.6,3.19,7.66e-05,1866,0.5
"79","leech","Noun",3.6,6.2,4.33,7.58e-05,89,2
"80","table","Noun",3.9,NA,4.9,NA,5387,-0.125
"81","dawdle","Verb",2.1,NA,2.22,NA,30,1.727272727
"82","pillow","Noun",5.2,NA,5,NA,581,0.466666667
"83","landscape","Noun",NA,NA,4.34,NA,127,1.2
"84","humming","Verb",NA,NA,4.17,NA,251,4.466666667
"85","ease","Noun",2.5,2.6,2.32,2.67e-05,974,0.75
"86","emotion","Noun",NA,NA,2.44,NA,423,0.090909091
"87","impression","Noun",NA,NA,2.23,NA,946,0.615384615
"88","caribou","Noun",NA,NA,4.92,NA,15,-0.727272727
"89","drain","Noun",2.09,5.5,4.61,-4.86e-06,440,1.636363636
"90","enemy","Noun",NA,NA,2.83,NA,2474,1.416666667
"91","consequence","Noun",NA,NA,2.64,NA,160,0.615384615
"92","unicycle","Noun",NA,NA,5,NA,11,1.454545455
"93","gratitude","Noun",NA,NA,2.56,NA,395,0.9
"94","gorilla","Noun",NA,NA,4.97,NA,283,0.818181818
"95","crevices","Noun",NA,NA,NA,NA,5,0.454545455
"96","craft","Noun",1.9,4.5,3.48,0.000114,289,0.733333333
"97","mandarin","Noun",NA,NA,3.67,NA,67,-0.636363636
"98","haze","Noun",3.09,4.3,4.04,4.24e-05,77,1
"99","garlic","Noun",6.56,NA,4.89,NA,306,0.230769231
"100","flat","Noun",2.64,4.1,4.07,-5.22e-06,1337,2.307692308
